Sample	raw_reads	dedup_reads	dedup_frac	trimmed_reads	trimmed_frac	host_removed_reads	host_removed_frac	orphan_reads	orphan_frac
C7	7179624	7058309	0.983	5872801	0.818	5025284	0.7	1572178	0.219
C10	28383731	27964636	0.985	18897929	0.666	14619606	0.515	10362663	0.365
S1	768818	750324	0.976	498352	0.648	370909	0.482	354704	0.461
S8	2626778	2574137	0.98	1830754	0.697	1323109	0.504	1023672	0.39
C6	9699076	9535007	0.983	7717733	0.796	4107276	0.423	2466585	0.254
S9	11007972	10815275	0.982	8087669	0.735	7044059	0.64	3544868	0.322
S10	10448630	10278865	0.984	7622912	0.73	6163665	0.59	3476080	0.333
C4	15997446	15722460	0.983	12913459	0.807	7408951	0.463	3743043	0.234
S3	2095941	2053104	0.98	1497954	0.715	1196327	0.571	769560	0.367
S2	588179	579598	0.985	385050	0.655	291447	0.496	261585	0.445
C3	17606094	17313006	0.983	14057932	0.798	8032629	0.456	4268294	0.242
S6	1833838	1794642	0.979	1328692	0.725	1127799	0.615	680078	0.371
C2	19110817	18803489	0.984	15702082	0.822	9379338	0.491	4046647	0.212
S7	1445209	1419850	0.982	1009945	0.699	741116	0.513	567090	0.392
S4	1093154	1064869	0.974	689384	0.631	562280	0.514	528670	0.484
C1	14246978	1020741	0.072	975207	0.068	973529	0.068	80998	0.006
S5	1372358	1336604	0.974	928902	0.677	833420	0.607	585280	0.426
C9	17056635	16788165	0.984	13769953	0.807	7835788	0.459	3890280	0.228
C8	7457220	7347247	0.985	5887001	0.789	3271399	0.439	1951908	0.262
C5	16199570	15928674	0.983	12942350	0.799	9129418	0.564	3880671	0.24
