"","genus"
"1","Abiotrophia"
"2","Achromobacter"
"3","Acinetobacter"
"4","Actinomadura"
"5","Actinomyces"
"6","Actinotignum"
"7","Aerococcus"
"8","Aeromonas"
"9","Aggregatibacter"
"10","Agrobacterium"
"11","Aliarcobacter"
"12","Anaerococcus"
"13","Anaplasma"
"14","Arcanobacterium"
"15","Aspergillus"
"16","Bacillus"
"17","Bartonella"
"18","Bordetella"
"19","Borrelia"
"20","Borreliella"
"21","Brachyspira"
"22","Brevibacillus"
"23","Brucella"
"24","Burkholderia"
"25","Campylobacter"
"26","Candida"
"27","Candida/Metschnikowiaceae"
"28","Cardiobacterium"
"29","Chlamydia"
"30","Citrobacter"
"31","Clostridioides"
"32","Clostridium"
"33","Corynebacterium"
"34","Coxiella"
"35","Cronobacter"
"36","Cryptococcus"
"37","Edwardsiella"
"38","Ehrlichia"
"39","Eikenella"
"40","Elizabethkingia"
"41","Enterobacter"
"42","Enterococcus"
"43","Erysipelothrix"
"44","Escherichia"
"45","Finegoldia"
"46","Francisella"
"47","Fusarium"
"48","Fusobacterium"
"49","Gardnerella"
"50","Haemophilus"
"51","Helicobacter"
"52","Kingella"
"53","Klebsiella"
"54","Legionella"
"55","Leptospira"
"56","Listeria"
"57","Malacoplasma"
"58","Metamycoplasma"
"59","Methylorubrum"
"60","Moraxella"
"61","Morganella"
"62","Mycobacterium"
"63","Mycobacteroides"
"64","Mycolicibacter"
"65","Mycolicibacterium"
"66","Mycoplasmoides"
"67","Mycoplasmopsis"
"68","Nakaseomyces"
"69","Neisseria"
"70","Neorickettsia"
"71","Nocardia"
"72","Orientia"
"73","Paraclostridium"
"74","Parvimonas"
"75","Pasteurella"
"76","Peptoniphilus"
"77","Photobacterium"
"78","Pichia"
"79","Plesiomonas"
"80","Porphyromonas"
"81","Prescottella"
"82","Prevotella"
"83","Proteus"
"84","Providencia"
"85","Pseudomonas"
"86","Ralstonia"
"87","Rickettsia"
"88","Rothia"
"89","Saccharomyces"
"90","Salmonella"
"91","Serratia"
"92","Shewanella"
"93","Shigella"
"94","Staphylococcus"
"95","Stenotrophomonas"
"96","Streptobacillus"
"97","Streptococcus"
"98","Talaromyces"
"99","Tannerella"
"100","Treponema"
"101","Tropheryma"
"102","Trueperella"
"103","Ureaplasma"
"104","Vibrio"
"105","Yersinia"
