"","species"
"1","Abiotrophia defectiva"
"2","Achromobacter xylosoxidans"
"3","Acinetobacter baumannii"
"4","Actinomadura madurae"
"5","Actinomyces israelii"
"6","Actinotignum schaalii"
"7","Aerococcus sanguinicola"
"8","Aeromonas caviae"
"9","Aeromonas hydrophila"
"10","Aeromonas veronii"
"11","Aggregatibacter actinomycetemcomitans"
"12","Aggregatibacter aphrophilus"
"13","Agrobacterium tumefaciens"
"14","Aliarcobacter butzleri"
"15","Anaplasma phagocytophilum"
"16","Arcanobacterium haemolyticum"
"17","Aspergillus fumigatus"
"18","Aspergillus nidulans"
"19","Bacillus cereus"
"20","Bartonella henselae"
"21","Bordetella bronchiseptica"
"22","Bordetella parapertussis"
"23","Bordetella pertussis"
"24","Brevibacillus brevis"
"25","Brucella melitensis"
"26","Burkholderia cenocepacia"
"27","Burkholderia cepacia"
"28","Burkholderia mallei"
"29","Burkholderia pseudomallei"
"30","Campylobacter coli"
"31","Campylobacter curvus"
"32","Campylobacter fetus"
"33","Campylobacter jejuni"
"34","Campylobacter lari"
"35","Candida albicans"
"36","Candida dubliniensis"
"37","Cardiobacterium hominis"
"38","Citrobacter freundii"
"39","Clostridioides difficile"
"40","Clostridium botulinum"
"41","Clostridium perfringens"
"42","Clostridium septicum"
"43","Clostridium tetani"
"44","Corynebacterium diphtheriae"
"45","Corynebacterium minutissimum"
"46","Corynebacterium striatum"
"47","Corynebacterium ulcerans"
"48","Coxiella burnetii"
"49","Cronobacter sakazakii"
"50","Cryptococcus neoformans"
"51","Edwardsiella tarda"
"52","Ehrlichia chaffeensis"
"53","Eikenella corrodens"
"54","Elizabethkingia anophelis"
"55","Elizabethkingia meningoseptica"
"56","Enterobacter cloacae"
"57","Enterococcus avium"
"58","Enterococcus faecalis"
"59","Enterococcus faecium"
"60","Enterococcus gallinarum"
"61","Escherichia coli"
"62","Finegoldia magna"
"63","Francisella tularensis"
"64","Fusarium fujikuroi"
"65","Fusarium oxysporum"
"66","Fusobacterium necrophorum"
"67","Fusobacterium nucleatum"
"68","Haemophilus influenzae"
"69","Haemophilus parainfluenzae"
"70","Helicobacter pylori"
"71","Kingella denitrificans"
"72","Kingella kingae"
"73","Klebsiella aerogenes"
"74","Klebsiella oxytoca"
"75","Klebsiella pneumoniae"
"76","Legionella micdadei"
"77","Legionella pneumophila"
"78","Leptospira borgpetersenii"
"79","Leptospira interrogans"
"80","Leptospira kmetyi"
"81","Leptospira santarosai"
"82","Leptospira weilii"
"83","Listeria monocytogenes"
"84","Metamycoplasma hominis"
"85","Methylorubrum extorquens"
"86","Moraxella catarrhalis"
"87","Moraxella nonliquefaciens"
"88","Morganella morganii"
"89","Mycobacterium avium"
"90","Mycobacterium intracellulare"
"91","Mycobacterium kansasii"
"92","Mycobacterium leprae"
"93","Mycobacterium lepromatosis"
"94","Mycobacterium malmoense"
"95","Mycobacterium marinum"
"96","Mycobacterium simiae"
"97","Mycobacterium tuberculosis"
"98","Mycobacterium ulcerans"
"99","Mycobacterium xenopi"
"100","Mycobacteroides abscessus"
"101","Mycobacteroides chelonae"
"102","Mycolicibacter terrae"
"103","Mycolicibacterium fortuitum"
"104","Mycolicibacterium smegmatis"
"105","Mycoplasmopsis fermentans"
"106","Nakaseomyces glabratus"
"107","Neisseria gonorrhoeae"
"108","Neisseria meningitidis"
"109","Nocardia asteroides"
"110","Nocardia brasiliensis"
"111","Nocardia farcinica"
"112","Nocardia nova"
"113","Nocardia otitidiscaviarum"
"114","Orientia tsutsugamushi"
"115","Paraclostridium bifermentans"
"116","Parvimonas micra"
"117","Pasteurella multocida"
"118","Photobacterium damselae"
"119","Pichia kudriavzevii"
"120","Plesiomonas shigelloides"
"121","Porphyromonas gingivalis"
"122","Prescottella equi"
"123","Prevotella bivia"
"124","Prevotella intermedia"
"125","Prevotella melaninogenica"
"126","Proteus mirabilis"
"127","Proteus penneri"
"128","Proteus vulgaris"
"129","Providencia alcalifaciens"
"130","Providencia rettgeri"
"131","Pseudomonas aeruginosa"
"132","Pseudomonas fluorescens"
"133","Pseudomonas putida"
"134","Ralstonia pickettii"
"135","Rickettsia conorii"
"136","Rothia dentocariosa"
"137","Saccharomyces cerevisiae"
"138","Salmonella bongori"
"139","Salmonella enterica"
"140","Serratia marcescens"
"141","Shewanella algae"
"142","Staphylococcus aureus"
"143","Staphylococcus capitis"
"144","Staphylococcus epidermidis"
"145","Staphylococcus haemolyticus"
"146","Staphylococcus lugdunensis"
"147","Staphylococcus saprophyticus"
"148","Stenotrophomonas maltophilia"
"149","Streptobacillus moniliformis"
"150","Streptococcus anginosus"
"151","Streptococcus equi"
"152","Streptococcus equinus"
"153","Streptococcus gordonii"
"154","Streptococcus mitis"
"155","Streptococcus mutans"
"156","Streptococcus oralis"
"157","Streptococcus pneumoniae"
"158","Streptococcus pyogenes"
"159","Streptococcus sanguinis"
"160","Streptococcus sobrinus"
"161","Streptococcus suis"
"162","Talaromyces marneffei"
"163","Tannerella forsythia"
"164","Treponema denticola"
"165","Treponema vincentii"
"166","Trueperella pyogenes"
"167","Vibrio alginolyticus"
"168","Vibrio cholerae"
"169","Vibrio parahaemolyticus"
"170","Vibrio vulnificus"
"171","Yersinia enterocolitica"
"172","[Candida] auris"
"173","[Haemophilus] ducreyi"
